Date,SPX Index,HSI Index,AAXJ US Equity,USGG2YR Index,USGG10YR Index,EURUSD Curncy,GBPUSD Curncy,USDJPY Curncy,AUDUSD Curncy,USDKRW Curncy,USDTWD Curncy,USDPHP Curncy,USDIDR Curncy,USDINR Curncy,USDMYR Curncy,USDSGD Curncy,USDTHB Curncy,CLA Comdty,XAU Curncy
5/1/2020,2830.71,24137.48,61.8,0.2223,0.6605,1.0829,1.2431,107.25,12/30/1899,1222.05,29.843,50.47,14882,75.5063,4.3457,1.4187,32.353,42.25,1713.99
5/4/2020,2842.74,23980.63,62.51,0.2112,0.6129,1.082,1.2426,106.87,12/30/1899,1224.95,29.908,50.57,15100,75.4563,4.3022,1.4172,32.388,42.01,1707.79
5/5/2020,2868.44,24230.17,62.75,0.2014,0.6269,1.0873,1.2469,106.68,12/30/1899,1219.9,29.898,50.438,15080,75.565,4.3165,1.412,32.395,42.4,1713.41
5/6/2020,2848.42,24602.06,62.81,0.1956,0.6393,1.0955,1.2594,107.18,12/30/1899,1220.5,29.92,50.311,14995,75.5788,4.3063,1.4099,32.245,42.07,1686.5
5/7/2020,2881.19,24245.68,63.4,0.19,0.6118,1.0981,1.2506,106.91,12/30/1899,1224.85,29.922,50.323,14920,75.9137,4.3238,1.4155,32.162,42.64,1700.42
5/8/2020,2929.8,24180.3,64.55,0.1822,0.6336,1.0907,1.2443,106.74,12/30/1899,1223.7,29.98,50.269,14895,75.64,4.334,1.4168,32.13,44.35,1702.07
5/11/2020,2930.32,23829.74,64.26,0.1882,0.6619,1.084,1.2435,106.57,12/30/1899,1227.95,29.93,50.458,14905,75.7975,4.3295,1.4156,32.063,43.3,1705.92
5/12/2020,2870.12,23797.47,64.12,0.1784,0.703,1.0795,1.235,106.12,12/30/1899,1231.2,29.95,50.74,14865,75.615,4.3278,1.4206,32.1,43.35,1685.71
5/13/2020,2820,23934.77,64.1,0.1388,0.6409,1.0834,1.2362,106.28,12/30/1899,1232.4,29.94,50.895,14885,75.9638,4.339,1.4148,32.063,43.72,1716.06
5/14/2020,2852.5,24388.13,64.03,0.1568,0.6831,1.0839,1.241,106.65,12/30/1899,1225.25,29.993,50.71,14860,75.66,4.351,1.4129,32.037,43.9,1702.7
5/15/2020,2863.7,24399.95,63.21,0.1747,0.7099,1.0807,1.2335,107.66,12/30/1899,1230.35,30.057,50.685,14850,75.7125,4.372,1.4171,31.888,43.74,1697.93
5/18/2020,2953.91,24280.03,65.34,0.1589,0.6651,1.0848,1.226,107.14,12/30/1899,1230.9,29.974,50.615,14770,75.7625,4.3533,1.4178,31.825,44.84,1702.7
5/19/2020,2922.94,22930.14,64.92,0.1589,0.6525,1.0818,1.2232,107.03,12/30/1899,1237,30.018,50.713,14710,75.6175,4.3525,1.42,31.833,44.36,1716.28
5/20/2020,2971.61,22952.24,65.61,0.147,0.6218,1.0805,1.223,107.25,12/30/1899,1244.13,30.031,50.544,14755,75.545,4.3457,1.4235,31.9,45.35,1730.3
5/21/2020,2948.51,23384.66,64.35,0.1451,0.6428,1.082,1.2116,107.06,12/30/1899,1234.3,30.022,50.665,14710,75.3562,4.3625,1.4268,31.972,45.13,1743.67
5/22/2020,2955.45,23301.36,62.72,0.1772,0.7257,1.0913,1.2194,107.34,12/30/1899,1234.35,29.934,50.705,14715,75.4725,4.348,1.4183,31.892,44.84,1732.55
5/26/2020,2991.77,23132.76,63.9,0.1652,0.6882,1.0923,1.2253,107.71,12/30/1899,1239.55,29.972,50.605,14610,75.5762,4.3535,1.4167,31.862,46.07,1745.05
5/27/2020,3036.13,22961.47,63.73,0.1633,0.6801,1.098,1.2245,107.53,12/30/1899,1238.35,29.892,50.331,14415,75.5825,4.3465,1.413,31.853,45.95,1748.18
5/28/2020,3029.73,23732.52,63.45,0.1653,0.672,1.095,1.2223,107.61,12/30/1899,1225,29.901,50.35,14095,75.5437,4.3175,1.4175,31.81,46.73,1727
5/29/2020,3044.31,23995.94,64.67,0.1676,0.6591,1.0901,1.2173,107.64,12/30/1899,1225.4,29.816,50.109,14095,75.615,4.2765,1.4249,31.682,46.56,1734.68
6/1/2020,3055.73,24325.62,66.09,0.1676,0.6591,1.0898,1.2191,107.71,12/30/1899,1216.9,29.794,49.99,13878,75.595,4.262,1.4248,31.552,46.82,1731.95
6/2/2020,3080.82,24366.3,67.66,0.1717,0.6965,1.0982,1.2334,107.54,12/30/1899,1218.9,29.778,49.815,13885,75.785,4.2802,1.4162,31.587,47.03,1710.58
6/3/2020,3122.87,24770.41,69.08,0.1799,0.6819,1.1006,1.2261,107.72,12/30/1899,1207.2,29.671,49.93,13890,75.845,4.2668,1.4204,31.475,47.2,1709.47
6/4/2020,3112.35,24776.77,68.13,0.1701,0.69,1.1077,1.2321,107.65,12/30/1899,1204.9,29.696,49.942,13980,76.0313,4.277,1.4176,31.44,47.68,1718.33
